1 0.050 0.379 0.439 0.441
2 0.047 0.377 0.438 0.440
3 0.047 0.380 0.440 0.442
4 0.047 0.375 0.436 0.438
5 0.047 0.375 0.436 0.438
6 0.047 0.375 0.436 0.438
7 0.046 0.376 0.437 0.439
8 0.047 0.376 0.437 0.438
9 0.047 0.376 0.437 0.438
10 0.047 0.379 0.440 0.442
11 0.047 0.380 0.441 0.443
12 0.047 0.375 0.437 0.439
13 0.047 0.376 0.437 0.438
14 0.047 0.375 0.435 0.437
15 0.047 0.377 0.438 0.440
16 0.046 0.375 0.435 0.437
17 0.047 0.376 0.437 0.439
18 0.047 0.377 0.437 0.439
19 0.047 0.380 0.440 0.442
20 0.047 0.376 0.436 0.438
1 0.053 0.383 0.444 0.446
2 0.047 0.376 0.437 0.438
3 0.046 0.375 0.435 0.437
4 0.047 0.376 0.437 0.439
5 0.047 0.375 0.436 0.437
6 0.047 0.376 0.437 0.438
7 0.047 0.376 0.437 0.438
8 0.047 0.375 0.436 0.438
9 0.047 0.376 0.437 0.438
10 0.046 0.375 0.435 0.437
11 0.046 0.375 0.436 0.437
12 0.047 0.376 0.438 0.440
13 0.046 0.375 0.435 0.437
14 0.046 0.375 0.435 0.437
15 0.047 0.375 0.436 0.437
16 0.047 0.376 0.437 0.439
17 0.059 0.388 0.449 0.450
18 0.047 0.377 0.438 0.440
19 0.047 0.376 0.436 0.438
20 0.046 0.375 0.436 0.437
1 0.057 0.386 0.447 0.449
2 0.047 0.375 0.437 0.439
3 0.047 0.375 0.436 0.438
4 0.047 0.375 0.435 0.437
5 0.047 0.375 0.435 0.437
6 0.047 0.375 0.435 0.437
7 0.047 0.378 0.438 0.440
8 0.046 0.375 0.436 0.437
9 0.047 0.376 0.437 0.439
10 0.047 0.376 0.437 0.438
11 0.047 0.375 0.435 0.437
12 0.047 0.375 0.435 0.437
13 0.046 0.376 0.436 0.438
14 0.047 0.376 0.437 0.439
15 0.046 0.375 0.435 0.437
16 0.047 0.375 0.436 0.438
17 0.047 0.378 0.439 0.441
18 0.047 0.375 0.436 0.438
19 0.047 0.375 0.436 0.437
20 0.047 0.375 0.436 0.438
1 0.054 0.383 0.444 0.445
2 0.047 0.376 0.436 0.438
3 0.047 0.376 0.436 0.438
4 0.047 0.375 0.436 0.438
5 0.047 0.376 0.436 0.438
6 0.046 0.375 0.436 0.438
7 0.047 0.379 0.440 0.442
8 0.047 0.377 0.438 0.439
9 0.048 0.380 0.442 0.444
10 0.048 0.381 0.442 0.444
11 0.047 0.376 0.438 0.440
12 0.047 0.375 0.436 0.437
13 0.047 0.377 0.438 0.440
14 0.047 0.376 0.436 0.438
15 0.050 0.380 0.440 0.442
16 0.050 0.380 0.440 0.442
17 0.047 0.377 0.438 0.439
18 0.048 0.377 0.438 0.440
19 0.047 0.376 0.437 0.439
20 0.051 0.380 0.441 0.442
1 0.000 0.000 0.000 0.000
